site_id,taxon_code,food_group,IRI_100
LR00,BNT,algae,0
LR00,BNT,amphib,0
LR00,BNT,benthicInv,65.2
LR00,BNT,crayfish,0
LR00,BNT,debris,0
LR00,BNT,fish,1
LR00,BNT,terrInv,22.2
LR00,LNS,algae,9.1
LR00,LNS,amphib,0
LR00,LNS,benthicInv,41.2
LR00,LNS,crayfish,0
LR00,LNS,debris,19
LR00,LNS,fish,0
LR00,LNS,terrInv,7.9
LR02,BNT,algae,1.5
LR02,BNT,amphib,0
LR02,BNT,benthicInv,71.9
LR02,BNT,crayfish,0
LR02,BNT,debris,0
LR02,BNT,fish,2.6
LR02,BNT,terrInv,24.7
LR02,CKC,algae,2.3
LR02,CKC,amphib,0
LR02,CKC,benthicInv,69.4
LR02,CKC,crayfish,0
LR02,CKC,debris,4.3
LR02,CKC,fish,0
LR02,CKC,terrInv,9.1
LR02,LND,algae,0.2
LR02,LND,amphib,0
LR02,LND,benthicInv,89.4
LR02,LND,crayfish,0
LR02,LND,debris,2
LR02,LND,fish,0
LR02,LND,terrInv,2.2
LR02,WHS,algae,32.4
LR02,WHS,amphib,0
LR02,WHS,benthicInv,48
LR02,WHS,crayfish,0
LR02,WHS,debris,5.9
LR02,WHS,fish,0
LR02,WHS,terrInv,9.9
LR03,BNT,algae,0
LR03,BNT,amphib,0
LR03,BNT,benthicInv,70.2
LR03,BNT,crayfish,0
LR03,BNT,debris,0
LR03,BNT,fish,2.3
LR03,BNT,terrInv,29.7
LR03,LND,algae,5.2
LR03,LND,amphib,0
LR03,LND,benthicInv,87.1
LR03,LND,crayfish,0
LR03,LND,debris,3.4
LR03,LND,fish,0
LR03,LND,terrInv,0.9
LR03,LNS,algae,20
LR03,LNS,amphib,0
LR03,LNS,benthicInv,55.2
LR03,LNS,crayfish,0
LR03,LNS,debris,22
LR03,LNS,fish,0
LR03,LNS,terrInv,7.7
LR03,WHS,algae,31.3
LR03,WHS,amphib,0
LR03,WHS,benthicInv,57.9
LR03,WHS,crayfish,0
LR03,WHS,debris,17.3
LR03,WHS,fish,0
LR03,WHS,terrInv,1.1
LR04,BNT,algae,0
LR04,BNT,amphib,4.5
LR04,BNT,benthicInv,12.7
LR04,BNT,crayfish,71.4
LR04,BNT,debris,0
LR04,BNT,fish,8.2
LR04,BNT,terrInv,12.4
LR04,CKC,algae,9.8
LR04,CKC,amphib,3.3
LR04,CKC,benthicInv,54.3
LR04,CKC,crayfish,22.3
LR04,CKC,debris,0.8
LR04,CKC,fish,5
LR04,CKC,terrInv,11.1
LR04,LND,algae,6
LR04,LND,amphib,0
LR04,LND,benthicInv,92.3
LR04,LND,crayfish,0
LR04,LND,debris,0.2
LR04,LND,fish,0
LR04,LND,terrInv,0.6
LR04,LNS,algae,11
LR04,LNS,amphib,0
LR04,LNS,benthicInv,49.6
LR04,LNS,crayfish,0
LR04,LNS,debris,22.3
LR04,LNS,fish,0
LR04,LNS,terrInv,9.2
LR04,WHS,algae,28.7
LR04,WHS,amphib,0
LR04,WHS,benthicInv,54.9
LR04,WHS,crayfish,0
LR04,WHS,debris,11
LR04,WHS,fish,0
LR04,WHS,terrInv,8.2
LR05,BNT,algae,0
LR05,BNT,amphib,3.4
LR05,BNT,benthicInv,15.9
LR05,BNT,crayfish,56.8
LR05,BNT,debris,0
LR05,BNT,fish,6.4
LR05,BNT,terrInv,16.4
LR05,CKC,algae,2.6
LR05,CKC,amphib,5.2
LR05,CKC,benthicInv,40.1
LR05,CKC,crayfish,25.4
LR05,CKC,debris,1.1
LR05,CKC,fish,8.7
LR05,CKC,terrInv,16.9
LR05,LNS,algae,28.9
LR05,LNS,amphib,0
LR05,LNS,benthicInv,60.3
LR05,LNS,crayfish,0
LR05,LNS,debris,12.8
LR05,LNS,fish,0
LR05,LNS,terrInv,6
LR05,WHS,algae,32.1
LR05,WHS,amphib,0
LR05,WHS,benthicInv,53.9
LR05,WHS,crayfish,0
LR05,WHS,debris,10.5
LR05,WHS,fish,0
LR05,WHS,terrInv,9.9
LR06,BNT,algae,3.3
LR06,BNT,amphib,5.4
LR06,BNT,benthicInv,40.4
LR06,BNT,crayfish,38.5
LR06,BNT,debris,0
LR06,BNT,fish,9.3
LR06,BNT,terrInv,13.5
LR06,CKC,algae,2.8
LR06,CKC,amphib,1.1
LR06,CKC,benthicInv,30.2
LR06,CKC,crayfish,29.1
LR06,CKC,debris,0
LR06,CKC,fish,5.6
LR06,CKC,terrInv,17.3
LR06,LND,algae,5.3
LR06,LND,amphib,0
LR06,LND,benthicInv,85
LR06,LND,crayfish,0
LR06,LND,debris,6.2
LR06,LND,fish,0
LR06,LND,terrInv,1.3
LR06,LNS,algae,13.8
LR06,LNS,amphib,0
LR06,LNS,benthicInv,57.4
LR06,LNS,crayfish,0
LR06,LNS,debris,13.5
LR06,LNS,fish,0
LR06,LNS,terrInv,13.5
LR06,WHS,algae,25.8
LR06,WHS,amphib,0
LR06,WHS,benthicInv,43.7
LR06,WHS,crayfish,0
LR06,WHS,debris,4.2
LR06,WHS,fish,0
LR06,WHS,terrInv,5.4
LR07,BNT,algae,2.2
LR07,BNT,amphib,0
LR07,BNT,benthicInv,53.7
LR07,BNT,crayfish,25.6
LR07,BNT,debris,0
LR07,BNT,fish,5.4
LR07,BNT,terrInv,19.7
LR07,CKC,algae,2.1
LR07,CKC,amphib,0
LR07,CKC,benthicInv,35.4
LR07,CKC,crayfish,21.2
LR07,CKC,debris,2.2
LR07,CKC,fish,0
LR07,CKC,terrInv,9.5
LR07,WHS,algae,28.5
LR07,WHS,amphib,0
LR07,WHS,benthicInv,49.4
LR07,WHS,crayfish,0
LR07,WHS,debris,11.4
LR07,WHS,fish,0
LR07,WHS,terrInv,7.3
LR08,CKC,algae,4
LR08,CKC,amphib,3.2
LR08,CKC,benthicInv,55.6
LR08,CKC,crayfish,18.7
LR08,CKC,debris,1
LR08,CKC,fish,4.3
LR08,CKC,terrInv,11.9
LR08,LND,algae,7.3
LR08,LND,amphib,0
LR08,LND,benthicInv,91.9
LR08,LND,crayfish,0
LR08,LND,debris,4.5
LR08,LND,fish,0
LR08,LND,terrInv,2.7
LR08,LNS,algae,23.4
LR08,LNS,amphib,0
LR08,LNS,benthicInv,59.4
LR08,LNS,crayfish,0
LR08,LNS,debris,10.8
LR08,LNS,fish,0
LR08,LNS,terrInv,5.6
LR08,WHS,algae,25
LR08,WHS,amphib,0
LR08,WHS,benthicInv,50.1
LR08,WHS,crayfish,0
LR08,WHS,debris,19.8
LR08,WHS,fish,0
LR08,WHS,terrInv,5.4
MB01,BNT,algae,0
MB01,BNT,amphib,0
MB01,BNT,benthicInv,71.4
MB01,BNT,crayfish,0
MB01,BNT,debris,0
MB01,BNT,fish,10
MB01,BNT,terrInv,27.5
MB02,BNT,algae,2.3
