unique_id,sia_sample_id,sample_year,stream_name,site_id,sample_hitch,compartment,resource,taxon_code,length_mm,d13C,d13C_scl,d15N,d15N_scl,CN
2016-LR00-BKT-34,2016_F345,2016,Laramie,LR00,H3,fish,fish,BKT,137,-25.445536,0.434687828,8.1604659,0.527286872,3.286700661
2016-LR00-BKT-35,2016_F348,2016,Laramie,LR00,H3,fish,fish,BKT,137,-24.3122032,0.494688592,7.7723271,0.505605623,3.289106869
2016-LR00-BKT-36,2016_F351,2016,Laramie,LR00,H3,fish,fish,BKT,162,-24.2990888,0.495382893,8.0253524,0.519739496,3.449679202
2016-LR00-BKT-37,2016_F354,2016,Laramie,LR00,H3,fish,fish,BKT,192,-25.1267552,0.451564681,7.7894288,0.506560916,3.398077027
2016-LR00-BKT-39,2016_F359,2016,Laramie,LR00,H3,fish,fish,BKT,160,-24.1986592,0.500699824,7.8424341,0.509521767,3.304694474
2016-LR00-BKT-41,2016_F364,2016,Laramie,LR00,H3,fish,fish,BKT,199,-25.5988736,0.426569848,7.8384337,0.509298307,3.589804624
2016-LR00-BKT-42,2016_F367,2016,Laramie,LR00,H3,fish,fish,BKT,192,-24.7197584,0.473111855,8.7253924,0.558843397,3.393549034
2016-LR00-BKT-43,2016_F370,2016,Laramie,LR00,H3,fish,fish,BKT,213,-23.9598528,0.513342683,8.4083907,0.541135833,3.48475564
2016-LR00-BKT-44,2016_F373,2016,Laramie,LR00,H3,fish,fish,BKT,182,-25.818792,0.414926955,7.9444443,0.515220008,3.43059318
2016-LR00-BKT-45,2016_F376,2016,Laramie,LR00,H3,fish,fish,BKT,227,-26.0487984,0.402749985,8.3604859,0.538459894,3.514409544
2016-LR00-BKT-46,2016_F379,2016,Laramie,LR00,H3,fish,fish,BKT,260,-24.23122,0.498975994,9.2384037,0.587499965,3.208192768
2017-LR00-BKT-18,F-17-174,2017,Laramie,LR00,H3,fish,fish,BKT,142,-25.3676863,0.438809337,7.329156,0.480850297,3.598216956
2017-LR00-BKT-01,F-17-157,2017,Laramie,LR00,H3,fish,fish,BKT,115,-24.2289133,0.499098115,6.4391136,0.431132952,3.42850206
2017-LR00-BKT-02,F-17-158,2017,Laramie,LR00,H3,fish,fish,BKT,135,-22.1211633,0.610686353,6.4902309,0.43398834,3.637760533
2017-LR00-BKT-03,F-17-159,2017,Laramie,LR00,H3,fish,fish,BKT,111,-22.289921,0.601752004,6.5734218,0.438635344,3.40305646
2017-LR00-BKT-04,F-17-160,2017,Laramie,LR00,H3,fish,fish,BKT,100,-22.1224033,0.610620705,6.2336421,0.419655411,3.679582846
2017-LR00-BKT-05,F-17-161,2017,Laramie,LR00,H3,fish,fish,BKT,160,-24.60350204,0.479266685,6.4992516,0.434492232,4.543802261
2017-LR00-BKT-06,F-17-162,2017,Laramie,LR00,H3,fish,fish,BKT,114,-22.2457846,0.604088668,6.2627088,0.421279063,3.3396326
2017-LR00-BKT-07,F-17-163,2017,Laramie,LR00,H3,fish,fish,BKT,105,-25.5509788,0.429105488,7.0495143,0.465229644,3.576309109
2017-LR00-BKT-08,F-17-164,2017,Laramie,LR00,H3,fish,fish,BKT,120,-22.0274919,0.615645493,6.4461297,0.431524868,3.547459545
2017-LR00-BKT-27,F-17-183,2017,Laramie,LR00,H3,fish,fish,BKT,43,-25.2887365,0.442989087,5.9233237,0.402321173,3.56996649
2017-LR00-BKT-26,F-17-182,2017,Laramie,LR00,H3,fish,fish,BKT,40,-23.8096175,0.521296421,5.974211,0.405163714,3.96454848
2017-LR00-BKT-25,F-17-181,2017,Laramie,LR00,H3,fish,fish,BKT,55,-22.6680897,0.581731044,5.9439774,0.403474879,3.811741735
2017-LR00-BKT-23,F-17-179,2017,Laramie,LR00,H3,fish,fish,BKT,75,-25.1994606,0.447715521,5.9784502,0.405400513,3.521067563
2017-LR00-BKT-24,F-17-180,2017,Laramie,LR00,H3,fish,fish,BKT,50,-23.6511277,0.529687168,5.9684272,0.404840633,3.846262869
2017-LR00-BKT-28,F-17-184,2017,Laramie,LR00,H3,fish,fish,BKT,51,-22.5768076,0.586563689,5.9570073,0.404202723,3.727028355
2017-LR00-BKT-22,F-17-178,2017,Laramie,LR00,H3,fish,fish,BKT,224,-25.2102172,0.447146046,7.5500397,0.493188755,3.419001746
2017-LR00-BKT-21,F-17-177,2017,Laramie,LR00,H3,fish,fish,BKT,182,-25.3976155,0.437224829,7.5001547,0.490402203,3.358910808
2017-LR00-BKT-20,F-17-176,2017,Laramie,LR00,H3,fish,fish,BKT,176,-23.3020489,0.548168055,7.3221399,0.480458381,3.399322978
2017-LR00-BKT-19,F-17-175,2017,Laramie,LR00,H3,fish,fish,BKT,145,-23.572749,0.533836684,7.2640065,0.477211077,3.38709262
2017-LR00-BKT-11,F-17-167,2017,Laramie,LR00,H3,fish,fish,BKT,130,-25.6051665,0.42623669,7.3461951,0.481802093,3.630315586
2017-LR00-BKT-09,F-17-165,2017,Laramie,LR00,H3,fish,fish,BKT,118,-23.824928,0.520485855,6.7916561,0.450825808,3.628931
2017-LR00-BKT-10,F-17-166,2017,Laramie,LR00,H3,fish,fish,BKT,118,-23.719755,0.52605391,6.936284,0.458904654,3.852233
2017-LR00-BKT-29,F-17-185,2017,Laramie,LR00,H3,fish,fish,BKT,46,-24.136206,0.504006213,6.328216,0.424938264,3.9848468
2017-LR00-BKT-30,F-17-186,2017,Laramie,LR00,H3,fish,fish,BKT,36,-24.56255,0.481434762,6.241663,0.420103455,3.12588745
2016-LR00-BNT-09,2016_F407,2016,Laramie,LR00,H3,fish,fish,BNT,58,-27.5742715,0.321988578,7.619431,0.49706492,3.959725612
2016-LR00-BNT-10,2016_F408,2016,Laramie,LR00,H3,fish,fish,BNT,130,-27.7479355,0.31279448,8.3400852,0.537320321,3.241568402
