sample_year,sample_date,stream_name,site_id,sample_hitch,gear_type,taxon_code,life_stage,coding_id,unique_id,count_individuals,length_mm,sex,date_sorted,taxonomist,sia_sample_id,bug_sample_status,bug_samp_location,notes
2015,8/10/15,Laramie,LR02,H3,dnet,Pteronarcidae,NA,1,B-2015-LR02-H3-1,11,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Hydropyschidae,NA,10,B-2015-LR02-H3-10,11,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Brachycentridae,NA,11,B-2015-LR02-H3-11,6,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Tipulidae,NA,12,B-2015-LR02-H3-12,2,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Athericidae,NA,13,B-2015-LR02-H3-13,15,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Elmidae-larvae,larvae,14,B-2015-LR02-H3-14,51,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Elmidae-adult,adult,15,B-2015-LR02-H3-15,50,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Pteronarcidae,NA,2,B-2015-LR02-H3-2,11,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Perlodidae,larvae,22,B-2015-LR02-H3-22,32,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Elmidae-larvae,larvae,23,B-2015-LR02-H3-23,85,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Athericidae,larvae,24,B-2015-LR02-H3-24,5,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Chironomidae,larvae,25,B-2015-LR02-H3-25,66,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Tipulidae,larvae,26,B-2015-LR02-H3-26,1,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Simulidae-adult,pupa,27,B-2015-LR02-H3-27,2,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Asellidae,adult,28,B-2015-LR02-H3-28,12,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Hydracarina,adult,29,B-2015-LR02-H3-29,4,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Perlidae,NA,3,B-2015-LR02-H3-3,1,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Sialidae,pupa,30,B-2015-LR02-H3-30,6,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Lepidostomatidae,pupa,31,B-2015-LR02-H3-31,11,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Leptoceridae,pupa,32,B-2015-LR02-H3-32,1,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Heptaganeidae,pupa,33,B-2015-LR02-H3-33,5,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Ephemerellidae,pupa,34,B-2015-LR02-H3-34,221,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Leptophlebiidae,pupa,35,B-2015-LR02-H3-35,95,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Sphaeriidae,adult,36,B-2015-LR02-H3-36,4,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Physidae,adult,37,B-2015-LR02-H3-37,11,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,10/4/15,Laramie,LR02,H3,dnet,Gomphidae,pupa,38,B-2015-LR02-H3-38,1,NA,NA,2/2/16,BMM,NA,NO,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Perlidae,NA,4,B-2015-LR02-H3-4,1,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Perlidae,NA,5,B-2015-LR02-H3-5,5,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Ephemerellidae,NA,6,B-2015-LR02-H3-6,20,NA,NA,10/15/18,NTB,NA,NA,NA,NA
2015,8/10/15,Laramie,LR02,H3,dnet,Ephemerellidae,NA,7,B-2015-LR02-H3-7,30,NA,NA,10/15/18,NTB,NA,NA,NA,NA
