unique_id,sample_year,stream_name,site_id,sample_hitch,compartment,resource,taxon_code,length_mm,d13C,d15N,CN
B-2016-LR00-H3-19,2016,Laramie,LR00,H3,invert,invert,Baetidae,NA,-23.07338913,1.9032753,8.333596053
B-2016-LR00-H3-15,2016,Laramie,LR00,H3,invert,invert,Baetidae,NA,-21.61222157,1.5144564,5.688433832
PP-16-H3-LR00-ALG-LITH--NA,2016,Laramie,LR00,H3,baseline,biofilm,Biofilm,NA,-29.0678484,1.84965,10.04617552
PP-16-H1-LR00-ALG-LITH--NA,2016,Laramie,LR00,H1,baseline,biofilm,Biofilm,NA,-29.1769118,2.136882,7.461446103
PP-16-H1-LR00-ALG-LITH--NA,2016,Laramie,LR00,H2,baseline,biofilm,Biofilm,NA,-27.6486946,2.8586615,24.49780521
PP-17-H2-LR00-ALG-LITH-45-A,2017,Laramie,LR00,H2,baseline,biofilm,Biofilm,NA,-27.3253696,3.8248984,8.049822064
PP-17-H2-LR00-ALG-LITH-45-B,2017,Laramie,LR00,H2,baseline,biofilm,Biofilm,NA,-27.1999684,2.2492376,8.231075697
PP-17-H3-LR00-ALG-LITH-219A,2017,Laramie,LR00,H3,baseline,biofilm,Biofilm,NA,-27.8226206,1.7449456,14.45600489
PP-17-H2-LR00-ALG-LITH-218A,2017,Laramie,LR00,H3,baseline,biofilm,Biofilm,NA,-28.15684658,1.984989419,12.47371351
2016-LR00-BKT-34,2016,Laramie,LR00,H3,fish,fish,BKT,137,-25.445536,8.1604659,3.286700661
2016-LR00-BKT-35,2016,Laramie,LR00,H3,fish,fish,BKT,137,-24.3122032,7.7723271,3.289106869
2016-LR00-BKT-36,2016,Laramie,LR00,H3,fish,fish,BKT,162,-24.2990888,8.0253524,3.449679202
2016-LR00-BKT-37,2016,Laramie,LR00,H3,fish,fish,BKT,192,-25.1267552,7.7894288,3.398077027
2016-LR00-BKT-39,2016,Laramie,LR00,H3,fish,fish,BKT,160,-24.1986592,7.8424341,3.304694474
2016-LR00-BKT-41,2016,Laramie,LR00,H3,fish,fish,BKT,199,-25.5988736,7.8384337,3.589804624
2016-LR00-BKT-42,2016,Laramie,LR00,H3,fish,fish,BKT,192,-24.7197584,8.7253924,3.393549034
2016-LR00-BKT-43,2016,Laramie,LR00,H3,fish,fish,BKT,213,-23.9598528,8.4083907,3.48475564
2016-LR00-BKT-44,2016,Laramie,LR00,H3,fish,fish,BKT,182,-25.818792,7.9444443,3.43059318
2016-LR00-BKT-45,2016,Laramie,LR00,H3,fish,fish,BKT,227,-26.0487984,8.3604859,3.514409544
2016-LR00-BKT-46,2016,Laramie,LR00,H3,fish,fish,BKT,260,-24.23122,9.2384037,3.208192768
2017-LR00-BKT-18,2017,Laramie,LR00,H3,fish,fish,BKT,142,-25.3676863,7.329156,3.598216956
2017-LR00-BKT-01,2017,Laramie,LR00,H3,fish,fish,BKT,115,-24.2289133,6.4391136,3.42850206
2017-LR00-BKT-02,2017,Laramie,LR00,H3,fish,fish,BKT,135,-22.1211633,6.4902309,3.637760533
2017-LR00-BKT-03,2017,Laramie,LR00,H3,fish,fish,BKT,111,-22.289921,6.5734218,3.40305646
2017-LR00-BKT-04,2017,Laramie,LR00,H3,fish,fish,BKT,100,-22.1224033,6.2336421,3.679582846
2017-LR00-BKT-05,2017,Laramie,LR00,H3,fish,fish,BKT,160,-24.60350204,6.4992516,4.543802261
2017-LR00-BKT-06,2017,Laramie,LR00,H3,fish,fish,BKT,114,-22.2457846,6.2627088,3.3396326
2017-LR00-BKT-07,2017,Laramie,LR00,H3,fish,fish,BKT,105,-25.5509788,7.0495143,3.576309109
2017-LR00-BKT-08,2017,Laramie,LR00,H3,fish,fish,BKT,120,-22.0274919,6.4461297,3.547459545
